String,Probability (Turkish)
ar,0.0192
la,0.0175
an,0.0173
er,0.0152
in,0.0151
le,0.0134
en,0.0132
de,0.0126
in,0.0121
da,0.0116
bi,0.0114
ir,0.011
ka,0.0103
ya,0.0098
di,0.0093
ma,0.0091
nd,0.0089
ra,0.0086
al,0.0084
ak,0.0079
ri,0.0077
il,0.007
ni,0.0067
ba,0.0065
rd,0.0065
ay,0.0064
or,0.0064
ni,0.0063
li,0.0063
ma,0.0062
ri,0.0061
ta,0.0059
ne,0.0058
el,0.0058
am,0.0058
ek,0.0057
di,0.0057
yo,0.0055
ki,0.0054
